date,tavg,tmin,tmax,prcp
2004-09-01,30.9,25.8,37.8,0
2004-09-02,31.5,27,,0
2004-09-03,30.7,26,38.3,0
2004-09-04,28.3,,35.3,
2004-09-05,26.4,,,
2004-09-06,27.7,24,30.8,
2004-09-07,28,25.6,31.2,
2004-09-08,27.7,25.4,31.2,0.5
2004-09-09,28.4,,35.6,0
2004-09-10,26.8,23.9,30.2,31
2004-09-11,28.6,24.2,33.2,3
2004-09-12,29.6,25.5,34.6,0
2004-09-13,29.5,25.4,34.5,0.5
2004-09-14,29.4,,36.2,0.5
2004-09-15,27.9,,,7.9
2004-09-16,28.8,24.2,35.6,25.9
2004-09-17,30.2,25.8,36.2,0.3
2004-09-18,30.1,,36.1,0
2004-09-19,28.3,,35.6,
2004-09-20,26.9,23.4,,66
2004-09-21,28.1,23.5,32.6,31
2004-09-22,28.3,25.2,32.2,0
2004-09-23,28.2,,31.8,
2004-09-24,25.8,,27.4,8.9
2004-09-25,28.4,24.4,31.6,2
2004-09-26,28.1,25.5,31.8,2
2004-09-27,27.1,,31,9.9
2004-09-28,26.9,23.4,31.1,40.4
2004-09-29,27.7,25,31.8,5.1
2004-09-30,29.2,25.5,32.2,3
2004-10-01,28.2,,32.6,0
2004-10-02,26.6,24.8,,2
2004-10-03,27.3,22.2,29.2,19.1
2004-10-04,28.8,25.5,32.8,0
2004-10-05,29.1,25.8,33,0
2004-10-06,29.3,25.8,34.6,0
2004-10-07,30,26,35.1,0
2004-10-08,29.9,26,,0
2004-10-09,29.9,26.5,,0
2004-10-10,28.7,,,
2004-10-11,28.6,24.2,33,0
2004-10-12,27.4,25,32,
2004-10-13,27.1,,31.4,
2004-10-14,28.8,24.4,33.7,0
2004-10-15,28.9,25.3,34.3,0
2004-10-16,27.9,,31.9,
2004-10-17,27.7,24.3,32.2,
2004-10-18,25.6,,,21.3
2004-10-19,24.8,,28.2,27.9
2004-10-20,26.9,,30.9,16
2004-10-21,27.5,24,31.8,4.1
2004-10-22,26.8,24.8,31.6,7.9
2004-10-23,25.9,,31.8,13
2004-10-24,27.2,,31.7,6.1
2004-10-25,27.3,23.4,31.4,29
2004-10-26,26.8,24,31.6,0.8
2004-10-27,27.2,23.4,31.6,7.1
2004-10-28,24.8,23,29.6,41.9
2004-10-29,24.5,22.6,25.7,51.1
2004-10-30,25.3,23.1,28,46
2004-10-31,24.4,22.6,,20.1
2004-11-01,26.6,22.8,30.2,6.1
2004-11-02,26.2,23.7,,0.3
2004-11-03,26.7,23.4,30.6,1
2004-11-04,26.1,23.8,30.2,0.5
2004-11-05,24.3,,27.8,2
2004-11-06,24.2,22.4,26,75.9
2004-11-07,26,23.4,,52.1
2004-11-08,26.9,23.2,,8.9
2004-11-09,28.3,24.2,,0.5
2004-11-10,27.4,24,31.1,9.9
2004-11-11,26.7,,31,0.8
2004-11-12,24.1,,27.6,9.9
2004-11-13,27.4,,,58.9
2004-11-14,27.6,23.5,30,0
2004-11-15,27.7,23.9,,0
2004-11-16,26.9,,31.2,0
2004-11-17,27.3,,31,0
2004-11-18,26.2,,,0
2004-11-19,26.3,19.9,,0
2004-11-20,26.5,20.2,30.5,0
2004-11-21,26.9,22.5,,0
2004-11-22,26,22,30.6,0
2004-11-23,25.6,22.3,29.8,0
2004-11-24,25.7,22.4,30.4,0
2004-11-25,26.9,22,31.4,0
2004-11-26,26.9,23.9,30.5,7.1
2004-11-27,26.5,23.6,,0
2004-11-28,26.4,,30.5,0
2004-11-29,25.8,21.4,30.3,0
2004-11-30,25.6,20.2,30,0
2004-12-01,25.9,21,31,0
2004-12-02,26.8,22.6,30.5,0
2004-12-03,25.7,22.9,30.1,0
2004-12-04,26.2,20.2,30,0
2004-12-05,25.4,21,,0
2004-12-06,25.4,20.1,30.2,0
2004-12-07,25.1,20,29.6,0
2004-12-08,25.9,22,30,0.8
2004-12-09,25.1,,30,7.1
2004-12-10,24.8,21,30.2,0
2004-12-11,25.9,21.2,30.4,0
2004-12-12,25.8,22.5,30.1,0
2004-12-13,25.9,23,29.6,2
2004-12-14,25.3,,29.8,4.1
2004-12-15,24.6,20.5,30.1,0
2004-12-16,24.8,20.4,29.4,0
2004-12-17,24.5,20.1,,0
2004-12-18,24.8,20,30.3,0
2004-12-19,24.4,19,30.8,0
2004-12-20,24.4,18.6,30.1,0
2004-12-21,23.7,19.5,30.8,0
2004-12-22,25,20,30.8,0
2004-12-23,25.4,20.4,30.9,0
2004-12-24,25.8,,,
2004-12-25,25,,30.2,0
2004-12-26,25.1,19.5,29.9,0
2004-12-27,25.2,,30.3,0
2004-12-28,26.2,,30.9,
2004-12-29,25.5,,30.3,0.3
2004-12-30,25.1,,30,0
